resourceId,caseType,caseSubtype,capabilityLevel,effectiveStartDate,effectiveEndDate,allocationPreferencePercent
P001,H-1B,,Primary,2022-01-01,,
P001,H-1B Extension,,Primary,2022-01-01,,
P001,Change of Employer,,Secondary,2023-01-01,,
P001,Amendment,,Secondary,2023-06-01,,
P002,H-1B,,Primary,2021-06-01,,
P002,H-1B Extension,,Primary,2021-06-01,,
P002,CAP,,Primary,2022-01-01,,
P002,Change of Employer,,Secondary,2022-06-01,,
P003,H-1B,,Primary,2023-01-01,,
P003,H-1B Extension,,Primary,2023-01-01,,
P003,Amendment,,Primary,2023-06-01,,
P004,H-1B,,Primary,2022-06-01,,
P004,H-1B Extension,,Primary,2022-06-01,,
P004,CAP,,Secondary,2023-01-01,,
P005,H-1B Extension,,Secondary,2024-01-01,,
P005,Amendment,,Trainee,2024-06-01,,
P006,H-1B,,Primary,2021-01-01,,
P006,H-1B Extension,,Primary,2021-01-01,,
P006,Change of Employer,,Primary,2022-01-01,,
P006,CAP,,Primary,2022-01-01,,
P007,H-1B,,Primary,2022-01-01,,
P007,H-1B Extension,,Primary,2022-01-01,,
P007,Change of Employer,,Secondary,2023-01-01,,
P008,H-1B Extension,,Primary,2022-06-01,,
P008,CAP,,Primary,2022-06-01,,
P008,H-1B,,Secondary,2023-06-01,,
P009,H-1B,,Primary,2023-06-01,,
P009,H-1B Extension,,Primary,2023-01-01,,
P009,Change of Employer,,Secondary,2024-01-01,,
P010,H-1B Extension,,Trainee,2024-06-01,,
P011,PERM,,Primary,2020-01-01,,
P011,AOS,,Secondary,2022-01-01,,
P012,PERM,,Primary,2021-01-01,,
P012,AOS,,Secondary,2022-06-01,,
P013,PERM,,Primary,2021-06-01,,
P013,AOS,,Primary,2022-01-01,,
P014,PERM,,Primary,2022-01-01,,
P014,AOS,,Secondary,2023-01-01,,
P015,PERM,,Secondary,2023-06-01,,
P015,AOS,,Trainee,2024-01-01,,
P016,AOS,,Primary,2021-01-01,,
P016,PERM,,Secondary,2022-06-01,,
P016,Amendment,,Secondary,2023-01-01,,
P017,AOS,,Primary,2022-01-01,,
P017,Amendment,,Primary,2022-06-01,,
P018,AOS,,Primary,2022-06-01,,
P018,PERM,,Secondary,2023-01-01,,
P019,AOS,,Secondary,2023-06-01,,
P019,Amendment,,Trainee,2024-01-01,,
P020,H-1B,,Primary,2020-06-01,,
P020,H-1B Extension,,Primary,2020-06-01,,
P020,Change of Employer,,Primary,2021-01-01,,
P020,Amendment,,Primary,2021-01-01,,
P021,H-1B Extension,,Primary,2022-01-01,,
P021,Amendment,,Primary,2022-01-01,,
P021,Change of Employer,,Secondary,2023-01-01,,
P022,Change of Employer,,Primary,2021-06-01,,
P022,H-1B,,Secondary,2022-01-01,,
P022,H-1B Extension,,Secondary,2022-01-01,,
P023,CAP,,Primary,2021-01-01,,
P023,H-1B,,Primary,2021-01-01,,
P023,H-1B Extension,,Secondary,2022-01-01,,
P024,Amendment,,Secondary,2023-06-01,,
P024,H-1B Extension,,Trainee,2024-01-01,,
P025,AOS,,Secondary,2024-01-01,,
P025,Amendment,,Trainee,2024-06-01,,
A001,H-1B,,Primary,2018-01-01,,
A001,H-1B Extension,,Primary,2018-01-01,,
A001,Change of Employer,,Primary,2018-01-01,,
A001,CAP,,Primary,2018-01-01,,
A001,Amendment,,Primary,2018-01-01,,
A002,H-1B,,Primary,2019-01-01,,
A002,H-1B Extension,,Primary,2019-01-01,,
A002,Change of Employer,,Primary,2019-01-01,,
A002,Amendment,,Primary,2019-01-01,,
A002,CAP,,Secondary,2020-01-01,,
A003,PERM,,Primary,2018-01-01,,
A003,AOS,,Primary,2018-01-01,,
A003,H-1B,,Secondary,2020-01-01,,
A003,H-1B Extension,,Secondary,2020-01-01,,
A004,AOS,,Primary,2019-01-01,,
A004,PERM,,Primary,2019-01-01,,
A004,Amendment,,Secondary,2021-01-01,,
A005,H-1B,,Primary,2020-01-01,,
A005,H-1B Extension,,Primary,2020-01-01,,
A005,CAP,,Primary,2020-01-01,,
A005,Change of Employer,,Primary,2021-01-01,,
A006,PERM,,Primary,2020-06-01,,
A006,AOS,,Primary,2020-06-01,,
A006,Amendment,,Primary,2021-06-01,,
A007,H-1B Extension,,Primary,2021-01-01,,
A007,H-1B,,Primary,2021-01-01,,
A007,Change of Employer,,Primary,2022-01-01,,
A007,AOS,,Secondary,2023-01-01,,
