caseId,clientName,caseType,caseSubtype,currentStage,milestone,assignedParalegalId,assignedAttorneyId,openedDate,targetFileDate,currentProductivityWeight,isActionable,isFiled,isOnHold
G-H1B-001,Google,H-1B,,Document Collection,Initial Docs Due,P001,A001,2025-10-01,2026-03-15,5,true,false,false
G-H1B-002,Google,H-1B,,Petition Drafting,Draft Complete,P002,A001,2025-10-05,2026-03-20,5,true,false,false
G-H1B-003,Google,H-1B,,Attorney Review,Review Pending,P003,A002,2025-10-08,2026-03-25,5,true,false,false
G-H1B-004,Google,H-1B,,Document Collection,Initial Docs Due,P004,A002,2025-10-12,2026-04-01,5,true,false,false
G-H1B-005,Google,H-1B,,Petition Drafting,Draft Complete,P006,A001,2025-10-15,2026-04-05,5,true,false,false
G-H1B-006,Google,H-1B,,Client Review,Client Signature,P007,A002,2025-10-18,2026-04-10,5,true,false,false
G-H1B-007,Google,H-1B,,Document Collection,Initial Docs Due,P020,A005,2025-10-20,2026-04-15,5,true,false,false
G-H1B-008,Google,H-1B,,Petition Drafting,Draft Complete,P022,A007,2025-10-22,2026-04-20,5,false,false,false
G-H1B-009,Google,H-1B,,Attorney Review,Review Pending,P023,A007,2025-10-25,2026-04-25,5,true,false,false
G-H1B-010,Google,H-1B,,Filed,Receipt Notice,P001,A001,2025-09-01,2026-01-15,5,false,true,false
G-H1B-011,Google,H-1B,,Document Collection,Initial Docs Due,P002,A002,2025-11-01,2026-05-01,5,true,false,false
G-H1B-012,Google,H-1B,,Petition Drafting,Draft Complete,P003,A001,2025-11-05,2026-05-05,5,true,false,true
G-H1B-013,Google,H-1B,,Attorney Review,Review Pending,P004,A002,2025-11-10,2026-05-10,5,true,false,false
G-H1B-014,Google,H-1B,,Document Collection,Initial Docs Due,P006,A001,2025-11-12,2026-05-15,5,true,false,false
G-H1B-015,Google,H-1B,,Petition Drafting,Draft Complete,P007,A002,2025-11-15,2026-05-20,5,true,false,false
G-H1B-016,Google,H-1B,,Document Collection,Initial Docs Due,P020,A005,2025-11-18,2026-05-25,5,true,false,false
G-H1B-017,Google,H-1B,,Attorney Review,Review Pending,P022,A007,2025-11-20,2026-06-01,5,true,false,false
G-H1B-018,Google,H-1B,,Petition Drafting,Draft Complete,P023,A007,2025-11-22,2026-06-05,5,false,false,false
G-H1B-019,Google,H-1B,,Document Collection,Initial Docs Due,P001,A001,2025-11-25,2026-06-10,5,true,false,false
G-H1B-020,Google,H-1B,,Client Review,Client Signature,P002,A001,2025-11-28,2026-06-15,5,true,false,false
G-H1B-021,Google,H-1B,,Document Collection,Initial Docs Due,P003,A002,2025-12-01,2026-06-20,5,true,false,false
G-H1B-022,Google,H-1B,,Petition Drafting,Draft Complete,P004,A002,2025-12-05,2026-06-25,5,true,false,false
G-H1B-023,Google,H-1B,,Attorney Review,Review Pending,P006,A001,2025-12-08,2026-07-01,5,true,false,false
G-H1B-024,Google,H-1B,,Document Collection,Initial Docs Due,P007,A002,2025-12-10,2026-07-05,5,true,false,false
G-H1B-025,Google,H-1B,,On Hold,Client Response Needed,P020,A005,2025-12-12,2026-07-10,5,false,false,true
G-H1B-026,Google,H-1B,,Petition Drafting,Draft Complete,P009,A002,2025-12-15,2026-07-15,5,true,false,false
G-H1B-027,Google,H-1B,,Document Collection,Initial Docs Due,P022,A007,2025-12-18,2026-07-20,5,true,false,false
G-H1B-028,Google,H-1B,,Attorney Review,Review Pending,P023,A005,2025-12-20,2026-07-25,5,true,false,false
G-H1B-029,Google,H-1B,,Petition Drafting,Draft Complete,P001,A001,2025-12-22,2026-08-01,5,true,false,false
G-H1B-030,Google,H-1B,,Document Collection,Initial Docs Due,P002,A001,2025-12-28,2026-08-05,5,true,false,false
G-EXT-001,Google,H-1B Extension,,Document Collection,Initial Docs Due,P001,A001,2025-09-15,2026-02-28,3,true,false,false
G-EXT-002,Google,H-1B Extension,,Petition Drafting,Draft Complete,P002,A001,2025-09-18,2026-03-05,3,true,false,false
G-EXT-003,Google,H-1B Extension,,Attorney Review,Review Pending,P003,A002,2025-09-20,2026-03-10,3,true,false,false
G-EXT-004,Google,H-1B Extension,,Document Collection,Initial Docs Due,P004,A002,2025-09-22,2026-03-15,3,true,false,false
G-EXT-005,Google,H-1B Extension,,Client Review,Client Signature,P005,A001,2025-09-25,2026-03-20,3,true,false,false
G-EXT-006,Google,H-1B Extension,,Petition Drafting,Draft Complete,P006,A001,2025-09-28,2026-03-25,3,true,false,false
G-EXT-007,Google,H-1B Extension,,Filed,Receipt Notice,P007,A002,2025-08-01,2026-01-10,3,false,true,false
G-EXT-008,Google,H-1B Extension,,Document Collection,Initial Docs Due,P008,A002,2025-10-01,2026-04-01,3,true,false,false
G-EXT-009,Google,H-1B Extension,,Petition Drafting,Draft Complete,P009,A002,2025-10-05,2026-04-05,3,true,false,false
G-EXT-010,Google,H-1B Extension,,Attorney Review,Review Pending,P021,A007,2025-10-08,2026-04-10,3,true,false,false
G-EXT-011,Google,H-1B Extension,,Document Collection,Initial Docs Due,P001,A001,2025-10-10,2026-04-15,3,true,false,false
G-EXT-012,Google,H-1B Extension,,On Hold,Awaiting Documents,P002,A001,2025-10-12,2026-04-20,3,false,false,true
G-EXT-013,Google,H-1B Extension,,Petition Drafting,Draft Complete,P003,A002,2025-10-15,2026-04-25,3,true,false,false
G-EXT-014,Google,H-1B Extension,,Attorney Review,Review Pending,P004,A002,2025-10-18,2026-05-01,3,true,false,false
G-EXT-015,Google,H-1B Extension,,Document Collection,Initial Docs Due,P005,A001,2025-10-20,2026-05-05,3,true,false,false
G-EXT-016,Google,H-1B Extension,,Client Review,Client Signature,P006,A001,2025-10-22,2026-05-10,3,true,false,false
G-EXT-017,Google,H-1B Extension,,Petition Drafting,Draft Complete,P007,A002,2025-10-25,2026-05-15,3,true,false,false
